artist,artist_uri
miss A,spotify:artist:1BEohdSWSBggmO979tzRwW
INFINITE,spotify:artist:1bkpTEmumLC3xc7HgMsttU
BIGBANG,spotify:artist:4Kxlr1PRlDKEB0ekOCyHgX
Wonder Girls,spotify:artist:3Cv2vi3WTl8VZOTdrBkKdM
After School,spotify:artist:1loWI8jVk9btgJXHgqHXPD
CNBLUE,spotify:artist:6dCz3spfpIvqqqsIoP6wXi
KARA,spotify:artist:7aZ221EQfonNG2lO9Hh192
SISTAR,spotify:artist:2wTLheTmMcFCA4hdY8hZJP
TVXQ!,spotify:artist:6nVMMEywS5Y4tsHPKx1nIo
f(x),spotify:artist:3wRA5UYoo08BBKJnzyKkpF
SE7EN,spotify:artist:14yLuCwlBqteUdBqx9soJV
SS501,spotify:artist:6rmMpoeu2SIV4OLURCOn2e
2AM,spotify:artist:5SnaL8SsjGMHQNyqpa8Zos
TEEN TOP,spotify:artist:3offPqpKAKmpQkIdWnjzkc
G.NA,spotify:artist:3hzcooxMtbApMTvvn6XKVA
Beast,spotify:artist:1Pr9gT0veB2tgcisQeIGoC
MBLAQ,spotify:artist:14f1WN9TUDVBK4sHUStmLG
Secret,spotify:artist:503DjcVO5Ku1NgLPhVuNg7
Brown Eyed Girls,spotify:artist:2GEPtT5RDxrmdi0A4mbDi7
B1A4,spotify:artist:3sxWOFw4MSN54SIQ8np6iG
CIELOGROOVE,spotify:artist:39Bud6jG9IdSbnZAx9ERUd
The Orchard,spotify:artist:6w8vEVxqF3ilGHbjTWgTKI
Loco,spotify:artist:2e4G04F77jxVuDYo44TCSm
Xydo,spotify:artist:0vcbn6MqAvgM8Gh6wh8d6X
amin,spotify:artist:05FbaV2QkbVQoHri4l491N
Urban Zakapa,spotify:artist:1dOMFM5wDNsENQQW0nl0K8
Harryan Yoonsoan,spotify:artist:1yiaSLGVlq43ZC9pFLQ8lQ
Mad Clown,spotify:artist:0dX6tgZKWpamoFHFuXFhwd
ROCOBERRY,spotify:artist:0Mt9IxntWHsf793bLZhQ9P
SUNNYSIDEMJ,spotify:artist:50hc5LTdbu0RKvf8IuOrLq
Yang Da Il,spotify:artist:5DnjOSzLCfn4hDbLECq8pt
Muzie,spotify:artist:6RzEJR9Jz1DFFjZOVm8Xtg
Kim Young Geun,spotify:artist:2gYn9xPkHXRkKnVnzRc4RZ
DAYBREAK,spotify:artist:1uMhweBMKu7nA1IgFc0yN2
DANWU,spotify:artist:3hqxXifdUAzAQIKdKqda6t
Junggigo,spotify:artist:6zTIxEXFWjoNu2VXauDITb
DINDIN,spotify:artist:63cvWayCvPbWYNDi537w0z
눈,spotify:artist:4JSbAMgMvf4Y9Xv9FVqEHd
Sunmin,spotify:artist:3tSqvuC6jIIo8rmiurd6ny
Lee So Ra,spotify:artist:58BWh3yJrluDugLv0QF0eC
nijuu,spotify:artist:5DOwMhG96lFhlPpNG9oaWW
Jiwoo,spotify:artist:51FKMPw06mntCaz6yO6ddg
라라 Lara,spotify:artist:1FKYTUBCKMWh2JDdYdWObW
JANNABI,spotify:artist:2SY6OktZyMLdOnscX3DCyS
ALEPH,spotify:artist:2ncTglxMHKmCzBKckfzOEv
OOHYO,spotify:artist:50Zu2bK9y5UAtD0jcqk5VX
CODE KUNST,spotify:artist:4WnO2VmlwdTX77ANsThWLQ
So!YoON!,spotify:artist:7H5EC2qaylGun66YeRrVHg
O3ohn,spotify:artist:3ZPELd2uCgchQqhLgvrDrI
Han All,spotify:artist:4y2MA188txnWeMIw9XwaJS
Sunwoojunga,spotify:artist:04L3elxyr0XFua2Ek3domW
Dinner Coat,spotify:artist:0NBzQhDqLwWJbfuQhNmgiV
Ku One Chan,spotify:artist:6ClAFFqc8VEOKSGTrvy8V5
The Night Of Seokyo,spotify:artist:6vrBuDdSYNTK6CwCVflTnx
Standing Egg,spotify:artist:6a3Mfrn2XBR1DfPg1QGa1d
Yozoh,spotify:artist:2Y6RMrspOMXAYSD4U57qS7
92914,spotify:artist:0Zoe6ljAJo85rggnN6OaOF
Kim Sawol,spotify:artist:08J6v4qHZz06ua0qAicWmE
ESAE,spotify:artist:573hBKu7MUNNUbp0OKhuRr
Dasutt,spotify:artist:3txAiGYUmI4p84stqOoi1s
msftz,spotify:artist:2v9xvjxXMMndxvLJ86Ice4
